ticker,signal_type,direction,signal_date,entry_date,entry_price,stop_price,target_price,outcome,exit_date,exit_price,days_held,r_multiple
HWM,RSI 약세 다이버전스,bearish,2025-05-27 18:00:00-04:00,2025-05-28 02:00:00-04:00,170.0,172.55,164.9,stop,2025-05-28 18:00:00-04:00,172.55,4,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-06-03 18:00:00-04:00,2025-06-04 02:00:00-04:00,173.1,175.7,167.91,stop,2025-06-04 14:00:00-04:00,175.7,3,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-06-05 02:00:00-04:00,2025-06-05 06:00:00-04:00,174.97,177.59,169.72,stop,2025-06-05 06:00:00-04:00,177.59,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-06-06 18:00:00-04:00,2025-06-09 02:00:00-04:00,177.12,179.78,171.81,target,2025-06-09 14:00:00-04:00,171.81,3,2.0
HWM,RSI 약세 다이버전스,bearish,2025-06-24 10:00:00-04:00,2025-06-24 14:00:00-04:00,176.7,179.35,171.4,target,2025-06-24 14:00:00-04:00,171.4,0,2.0
HWM,RSI 약세 다이버전스,bearish,2025-06-26 02:00:00-04:00,2025-06-26 06:00:00-04:00,176.45,179.1,171.16,stop,2025-06-26 06:00:00-04:00,179.1,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-06-27 02:00:00-04:00,2025-06-27 06:00:00-04:00,177.89,180.56,172.55,stop,2025-06-27 06:00:00-04:00,180.56,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-06-30 06:00:00-04:00,2025-06-30 10:00:00-04:00,184.89,187.66,179.34,stop,2025-06-30 14:00:00-04:00,187.66,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-06-30 18:00:00-04:00,2025-07-01 02:00:00-04:00,186.54,189.34,180.94,target,2025-07-01 10:00:00-04:00,180.94,2,2.0
HWM,RSI 약세 다이버전스,bearish,2025-07-17 06:00:00-04:00,2025-07-17 10:00:00-04:00,186.38,189.18,180.79,stop,2025-07-17 14:00:00-04:00,189.18,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-07-17 18:00:00-04:00,2025-07-18 02:00:00-04:00,189.98,192.83,184.28,stop,2025-07-18 06:00:00-04:00,192.83,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-07-18 18:00:00-04:00,2025-07-21 02:00:00-04:00,191.3,194.17,185.56,stop,2025-07-21 06:00:00-04:00,194.17,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-07-25 06:00:00-04:00,2025-07-25 10:00:00-04:00,190.57,193.43,184.85,stop,2025-07-30 14:00:00-04:00,193.43,16,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-08-27 02:00:00-04:00,2025-08-27 06:00:00-04:00,176.71,179.36,171.41,target,2025-08-28 06:00:00-04:00,171.41,5,2.0
HWM,RSI 약세 다이버전스,bearish,2025-08-28 18:00:00-04:00,2025-08-29 02:00:00-04:00,177.44,180.1,172.12,target,2025-09-02 06:00:00-04:00,172.12,6,2.0
HWM,RSI 약세 다이버전스,bearish,2025-09-04 14:00:00-04:00,2025-09-04 18:00:00-04:00,179.46,182.15,174.08,target,2025-09-05 06:00:00-04:00,174.08,2,2.0
HWM,RSI 약세 다이버전스,bearish,2025-09-09 02:00:00-04:00,2025-09-09 06:00:00-04:00,180.92,183.63,175.49,target,2025-09-09 06:00:00-04:00,175.49,0,2.0
HWM,RSI 약세 다이버전스,bearish,2025-09-10 18:00:00-04:00,2025-09-11 02:00:00-04:00,184.36,187.13,178.83,stop,2025-09-12 10:00:00-04:00,187.13,7,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-09-12 02:00:00-04:00,2025-09-12 06:00:00-04:00,184.6,187.37,179.06,stop,2025-09-12 14:00:00-04:00,187.37,2,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-09-15 02:00:00-04:00,2025-09-15 06:00:00-04:00,187.05,189.86,181.44,stop,2025-09-15 06:00:00-04:00,189.86,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-09-16 02:00:00-04:00,2025-09-16 06:00:00-04:00,189.5,192.34,183.82,target,2025-09-16 14:00:00-04:00,183.82,2,2.0
HWM,RSI 약세 다이버전스,bearish,2025-09-18 10:00:00-04:00,2025-09-18 14:00:00-04:00,190.73,193.59,185.0,target,2025-09-19 14:00:00-04:00,185.0,5,2.0
HWM,RSI 약세 다이버전스,bearish,2025-09-18 18:00:00-04:00,2025-09-19 02:00:00-04:00,192.83,195.72,187.05,target,2025-09-19 10:00:00-04:00,187.05,2,2.0
HWM,RSI 약세 다이버전스,bearish,2025-09-22 14:00:00-04:00,2025-09-22 18:00:00-04:00,187.75,190.57,182.12,stop,2025-09-22 18:00:00-04:00,190.57,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-09-23 06:00:00-04:00,2025-09-23 10:00:00-04:00,192.9,195.79,187.11,target,2025-09-23 14:00:00-04:00,187.11,1,2.0
HWM,RSI 약세 다이버전스,bearish,2025-09-26 14:00:00-04:00,2025-09-26 18:00:00-04:00,193.88,196.79,188.06,stop,2025-09-30 14:00:00-04:00,196.79,9,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-09-29 02:00:00-04:00,2025-09-29 06:00:00-04:00,194.69,197.61,188.85,target,2025-09-30 06:00:00-04:00,188.85,5,2.0
HWM,RSI 약세 다이버전스,bearish,2025-09-30 14:00:00-04:00,2025-09-30 18:00:00-04:00,195.7,198.64,189.83,target,2025-10-02 14:00:00-04:00,189.83,9,2.0
HWM,RSI 약세 다이버전스,bearish,2025-10-01 06:00:00-04:00,2025-10-01 10:00:00-04:00,197.26,200.22,191.34,target,2025-10-02 06:00:00-04:00,191.34,4,2.0
HWM,RSI 약세 다이버전스,bearish,2025-10-23 10:00:00-04:00,2025-10-23 14:00:00-04:00,199.37,202.36,193.38,stop,2025-10-24 06:00:00-04:00,202.36,3,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-10-23 18:00:00-04:00,2025-10-24 02:00:00-04:00,200.38,203.39,194.37,stop,2025-10-24 06:00:00-04:00,203.39,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-10-24 10:00:00-04:00,2025-10-24 14:00:00-04:00,200.11,203.11,194.1,stop,2025-10-27 06:00:00-04:00,203.11,3,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-10-27 06:00:00-04:00,2025-10-27 10:00:00-04:00,200.45,203.45,194.43,stop,2025-10-28 06:00:00-04:00,203.45,4,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-10-28 02:00:00-04:00,2025-10-28 06:00:00-04:00,201.55,204.57,195.5,stop,2025-10-28 06:00:00-04:00,204.57,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-10-29 14:00:00-04:00,2025-10-29 18:00:00-04:00,204.58,207.65,198.44,stop,2025-10-30 02:00:00-04:00,207.65,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-10-31 06:00:00-04:00,2025-10-31 10:00:00-04:00,208.52,211.65,202.26,target,2025-10-31 14:00:00-04:00,202.26,1,2.0
HWM,RSI 약세 다이버전스,bearish,2025-11-10 17:00:00-05:00,2025-11-11 01:00:00-05:00,211.0,214.16,204.67,stop,2025-11-11 05:00:00-05:00,214.16,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-11-11 13:00:00-05:00,2025-11-11 17:00:00-05:00,211.76,214.94,205.41,target,2025-11-11 17:00:00-05:00,205.41,0,2.0
HWM,RSI 약세 다이버전스,bearish,2025-11-26 05:00:00-05:00,2025-11-26 09:00:00-05:00,204.27,207.33,198.14,stop,2025-11-26 09:00:00-05:00,207.33,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-12-12 05:00:00-05:00,2025-12-12 09:00:00-05:00,196.7,199.65,190.8,stop,2025-12-12 09:00:00-05:00,199.65,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-12-12 13:00:00-05:00,2025-12-12 17:00:00-05:00,198.9,201.88,192.93,target,2025-12-16 09:00:00-05:00,192.93,8,2.0
HWM,RSI 약세 다이버전스,bearish,2025-12-22 05:00:00-05:00,2025-12-22 09:00:00-05:00,204.4,207.47,198.27,stop,2025-12-22 09:00:00-05:00,207.47,0,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-12-22 17:00:00-05:00,2025-12-23 01:00:00-05:00,208.17,211.29,201.92,stop,2025-12-23 13:00:00-05:00,211.29,3,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-12-23 09:00:00-05:00,2025-12-23 13:00:00-05:00,209.72,212.87,203.43,stop,2025-12-24 13:00:00-05:00,212.87,5,-1.0
HWM,RSI 약세 다이버전스,bearish,2025-12-23 17:00:00-05:00,2025-12-24 01:00:00-05:00,210.0,213.15,203.7,stop,2025-12-24 13:00:00-05:00,213.15,3,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-01-02 13:00:00-05:00,2026-01-02 17:00:00-05:00,211.45,214.62,205.11,stop,2026-01-05 09:00:00-05:00,214.62,3,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-01-05 01:00:00-05:00,2026-01-05 05:00:00-05:00,212.04,215.22,205.68,stop,2026-01-05 09:00:00-05:00,215.22,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-01-05 09:00:00-05:00,2026-01-05 13:00:00-05:00,213.3,216.5,206.9,target,2026-01-06 05:00:00-05:00,206.9,3,2.0
HWM,RSI 약세 다이버전스,bearish,2026-01-05 17:00:00-05:00,2026-01-06 01:00:00-05:00,212.92,216.11,206.53,target,2026-01-06 05:00:00-05:00,206.53,1,2.0
HWM,RSI 약세 다이버전스,bearish,2026-01-06 05:00:00-05:00,2026-01-06 09:00:00-05:00,212.75,215.94,206.37,stop,2026-01-06 13:00:00-05:00,215.94,1,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-01-07 05:00:00-05:00,2026-01-07 09:00:00-05:00,215.28,218.51,208.82,target,2026-01-08 09:00:00-05:00,208.82,5,2.0
HWM,RSI 약세 다이버전스,bearish,2026-01-09 09:00:00-05:00,2026-01-09 13:00:00-05:00,218.84,222.12,212.27,stop,2026-01-12 05:00:00-05:00,222.12,3,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-01-12 17:00:00-05:00,2026-01-13 01:00:00-05:00,220.15,223.45,213.55,stop,2026-01-13 09:00:00-05:00,223.45,2,-1.0
HWM,RSI 약세 다이버전스,bearish,2026-01-22 01:00:00-05:00,2026-01-22 05:00:00-05:00,227.0,230.4,220.19,stop,2026-01-22 05:00:00-05:00,230.4,0,-1.0
